query_id,data_value,agent_value
query_1,65.19979403950254,58.528720868441994
query_2,45.76945115050379,58.18180815676389
query_3,15.731435990810912,48.53330284336094
query_4,60.775565994039454,39.48438097741007
query_5,88.23711021433864,48.30783943336993
query_6,44.3907113391545,75.04237082284605
query_7,76.11282404321979,28.306593389382957
query_8,40.99943779845321,26.40805984258314
query_9,53.88402678985287,46.69429170016335
query_10,52.982526749170006,56.865031254694316
query_11,53.14904778486281,49.402927693934885
query_12,73.99733138782389,45.27699780052049
query_13,80.02317831522346,31.723813367926617
query_14,48.72218417936333,73.16117176637036
query_15,20.73183293907981,54.48900489400797
query_16,39.14501828205006,65.44933918312651
query_17,33.043956509697054,41.7540611825498
query_18,42.29032776665336,66.3337047900705
query_19,57.12724198076409,56.970382885114915
query_20,51.58426542138626,40.360821739728976
query_21,57.01296039566421,51.06338143809622
query_22,66.4853430555348,61.480355125861415
